Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Nogata,16988,Valid,Typical meteorite,L6,472,Fell,Fell: the meteorite's fall was observed ,860,33.725000,130.750000,"(33.725000, 130.750000)"
Narni,16914,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,920,42.516670,12.516670,"(42.516670, 12.516670)"
Elbogen,7823,Valid,Typical meteorite,"Iron, IID",107000,Fell,Fell: the meteorite's fall was observed ,1399,50.183330,12.733330,"(50.183330, 12.733330)"
Rivolta de Bassi,22614,Valid,Typical meteorite,Stone-uncl,103.3,Fell,Fell: the meteorite's fall was observed ,1490,45.483330,9.516670,"(45.483330, 9.516670)"
Ensisheim,10039,Valid,Typical meteorite,LL6,127000,Fell,Fell: the meteorite's fall was observed ,1491,47.866670,7.350000,"(47.866670, 7.350000)"
Valdinoce,24146,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1495,44.066670,12.100000,"(44.066670, 12.100000)"
Oliva-Gandia,18012,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1519,39.000000,-0.033330,"(39.000000, -0.033330)"
Campo del Cielo,5247,Valid,Typical meteorite,"Iron, IAB-MG",50000000,Found,Found: the meteorite's fall was not observed,1575,-27.466670,-60.583330,"(-27.466670, -60.583330)"
Castrovillari,5295,Valid,Typical meteorite,Stone-uncl,15000,Fell,Fell: the meteorite's fall was observed ,1583,39.800000,16.200000,"(39.800000, 16.200000)"
Morito,16745,Valid,Typical meteorite,"Iron, IIIAB",10100000,Found,Found: the meteorite's fall was not observed,1600,27.050000,-105.433330,"(27.050000, -105.433330)"
Jalandhar,12069,Valid,Typical meteorite,Iron,1967,Fell,Fell: the meteorite's fall was observed ,1621,31.000000,75.000000,"(31.000000, 75.000000)"
Stretchleigh,23732,Valid,Typical meteorite,Stone-uncl,10400,Fell,Fell: the meteorite's fall was observed ,1623,50.383330,-3.950000,"(50.383330, -3.950000)"
Hatford,11855,Valid,Typical meteorite,Stone-uncl,29000,Fell,Fell: the meteorite's fall was observed ,1628,51.650000,-1.516670,"(51.650000, -1.516670)"
Minamino,16692,Valid,Typical meteorite,L,1040,Fell,Fell: the meteorite's fall was observed ,1632,35.078330,136.933330,"(35.078330, 136.933330)"
Sagan,22796,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1636,51.533330,14.883330,"(51.533330, 14.883330)"
Mount Vaisi,16805,Valid,Typical meteorite,Stone-uncl,17000,Fell,Fell: the meteorite's fall was observed ,1637,44.083330,6.866670,"(44.083330, 6.866670)"
Stolzenau,23726,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1647,52.533330,9.050000,"(52.533330, 9.050000)"
Fünen,10838,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1654,55.333330,10.333330,"(55.333330, 10.333330)"
Novy-Ergi,17934,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1662,58.550000,31.333330,"(58.550000, 31.333330)"
Vago,24143,Valid,Typical meteorite,H6,40,Fell,Fell: the meteorite's fall was observed ,1668,45.416670,11.133330,"(45.416670, 11.133330)"
Ortenau,18033,Valid,Typical meteorite,Stone-uncl,4500,Fell,Fell: the meteorite's fall was observed ,1671,48.500000,8.000000,"(48.500000, 8.000000)"
Sasagase,23187,Valid,Typical meteorite,H,695,Fell,Fell: the meteorite's fall was observed ,1688,34.716670,137.783330,"(34.716670, 137.783330)"
Barcelona (stone),4944,Valid,Typical meteorite,OC,,Fell,Fell: the meteorite's fall was observed ,1704,41.366670,2.166670,"(41.366670, 2.166670)"
Schellin,23457,Valid,Typical meteorite,L,7000,Fell,Fell: the meteorite's fall was observed ,1715,53.350000,15.050000,"(53.350000, 15.050000)"
Siratik,23615,Valid,Typical meteorite,"Iron, IIAB",1700,Found,Found: the meteorite's fall was not observed,1716,14.000000,-11.000000,"(14.000000, -11.000000)"
Ploschkovitz,18849,Valid,Typical meteorite,L5,39,Fell,Fell: the meteorite's fall was observed ,1723,50.533330,14.116670,"(50.533330, 14.116670)"
Steinbach,23722,Valid,Typical meteorite,"Iron, IVA-an",98000,Found,Found: the meteorite's fall was not observed,1724,50.500000,12.500000,"(50.500000, 12.500000)"
Rasgrad,22396,Valid,Typical meteorite,Stone-uncl,24700,Fell,Fell: the meteorite's fall was observed ,1740,43.500000,26.533330,"(43.500000, 26.533330)"
Ogi,17994,Valid,Typical meteorite,H6,14360,Fell,Fell: the meteorite's fall was observed ,1741,33.283330,130.200000,"(33.283330, 130.200000)"
Krasnojarsk,12356,Valid,Typical meteorite,"Pallasite, PMG-an",700000,Found,Found: the meteorite's fall was not observed,1749,54.900000,91.800000,"(54.900000, 91.800000)"
Nicorps,16970,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1750,49.033330,-1.433330,"(49.033330, -1.433330)"
Hraschina,11916,Valid,Typical meteorite,"Iron, IID",49000,Fell,Fell: the meteorite's fall was observed ,1751,46.100000,16.333330,"(46.100000, 16.333330)"
Tabor,23776,Valid,Typical meteorite,H5,7540,Fell,Fell: the meteorite's fall was observed ,1753,49.400000,14.650000,"(49.400000, 14.650000)"
Luponnas,14757,Valid,Typical meteorite,H3-5,14000,Fell,Fell: the meteorite's fall was observed ,1753,46.216670,5.000000,"(46.216670, 5.000000)"
Albareto,453,Valid,Typical meteorite,L/LL4,2000,Fell,Fell: the meteorite's fall was observed ,1766,44.650000,11.016670,"(44.650000, 11.016670)"
Lucé,14724,Valid,Typical meteorite,L6,3500,Fell,Fell: the meteorite's fall was observed ,1768,47.850000,0.483330,"(47.850000, 0.483330)"
Mauerkirchen,15446,Valid,Typical meteorite,L6,19000,Fell,Fell: the meteorite's fall was observed ,1768,48.183330,13.133330,"(48.183330, 13.133330)"
Aire-sur-la-Lys,425,Valid,Typical meteorite,Unknown,,Fell,Fell: the meteorite's fall was observed ,1769,50.666670,2.333330,"(50.666670, 2.333330)"
Sena,23495,Valid,Typical meteorite,H4,4000,Fell,Fell: the meteorite's fall was observed ,1773,41.716670,-0.050000,"(41.716670, -0.050000)"
Rodach,22642,Valid,Typical meteorite,Stone-uncl,2900,Fell,Fell: the meteorite's fall was observed ,1775,50.350000,10.800000,"(50.350000, 10.800000)"
Owrucz,18062,Valid,Typical meteorite,OC,,Fell,Fell: the meteorite's fall was observed ,1775,51.333330,28.833330,"(51.333330, 28.833330)"
Toluca,24018,Valid,Typical meteorite,"Iron, IAB-sLL",3000000,Found,Found: the meteorite's fall was not observed,1776,19.566670,-99.566670,"(19.566670, -99.566670)"
Pettiswood,18804,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1779,53.533330,-7.333330,"(53.533330, -7.333330)"
Longchang,14695,Valid,Typical meteorite,"Iron, IVA-an",158500,Found,Found: the meteorite's fall was not observed,1781,29.300000,105.300000,"(29.300000, 105.300000)"
Sierra Blanca,23587,Valid,Typical meteorite,"Iron, IAB?",405,Found,Found: the meteorite's fall was not observed,1784,27.150000,-104.900000,"(27.150000, -104.900000)"
Bendegó,5015,Valid,Typical meteorite,"Iron, IC",5360000,Found,Found: the meteorite's fall was not observed,1784,-10.116670,-39.200000,"(-10.116670, -39.200000)"
Eichstädt,7775,Valid,Typical meteorite,H5,3000,Fell,Fell: the meteorite's fall was observed ,1785,48.900000,11.216670,"(48.900000, 11.216670)"
Kharkov,12291,Valid,Typical meteorite,L6,1500,Fell,Fell: the meteorite's fall was observed ,1787,50.625000,35.075000,"(50.625000, 35.075000)"
Barbotan,4942,Valid,Typical meteorite,H5,6400,Fell,Fell: the meteorite's fall was observed ,1790,43.950000,-0.050000,"(43.950000, -0.050000)"
Castel Berardenga,5292,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1791,43.350000,11.500000,"(43.350000, 11.500000)"
Zacatecas (1792),30381,Valid,Typical meteorite,"Iron, ungrouped",1000000,Found,Found: the meteorite's fall was not observed,1792,22.816670,-102.566670,"(22.816670, -102.566670)"
Cape of Good Hope,5261,Valid,Typical meteorite,"Iron, IVB",136000,Found,Found: the meteorite's fall was not observed,1793,-33.500000,26.000000,"(-33.500000, 26.000000)"
Siena,23586,Valid,Typical meteorite,LL5,3700,Fell,Fell: the meteorite's fall was observed ,1794,43.116670,11.600000,"(43.116670, 11.600000)"
Wold Cottage,24325,Valid,Typical meteorite,L6,25000,Fell,Fell: the meteorite's fall was observed ,1795,54.136670,-0.413330,"(54.136670, -0.413330)"
Mulletiwu,16851,Valid,Typical meteorite,L,25.5,Fell,Fell: the meteorite's fall was observed ,1795,9.333330,80.833330,"(9.333330, 80.833330)"
Bjelaja Zerkov,5063,Valid,Typical meteorite,H6,1850,Fell,Fell: the meteorite's fall was observed ,1796,49.783330,30.166670,"(49.783330, 30.166670)"
Portugal,18876,Valid,Typical meteorite,Stone-uncl,4500,Fell,Fell: the meteorite's fall was observed ,1796,38.500000,-8.000000,"(38.500000, -8.000000)"
Prambanan,18884,Valid,Typical meteorite,"Iron, ungrouped",500000,Found,Found: the meteorite's fall was not observed,1797,-7.566670,110.833330,"(-7.566670, 110.833330)"
Benares (a),5011,Valid,Typical meteorite,LL4,3700,Fell,Fell: the meteorite's fall was observed ,1798,25.366670,82.916670,"(25.366670, 82.916670)"
Salles,23111,Valid,Typical meteorite,L5,9000,Fell,Fell: the meteorite's fall was observed ,1798,46.050000,4.633330,"(46.050000, 4.633330)"
Mauritius,15447,Valid,Typical meteorite,L6,220,Fell,Fell: the meteorite's fall was observed ,1801,-20.000000,57.000000,"(-20.000000, 57.000000)"
Mässing,15443,Valid,Typical meteorite,Howardite,1600,Fell,Fell: the meteorite's fall was observed ,1803,48.133330,12.616670,"(48.133330, 12.616670)"
Apt,2320,Valid,Typical meteorite,L6,3200,Fell,Fell: the meteorite's fall was observed ,1803,43.866670,5.383330,"(43.866670, 5.383330)"
L'Aigle,12434,Valid,Typical meteorite,L6,37000,Fell,Fell: the meteorite's fall was observed ,1803,48.766670,0.633330,"(48.766670, 0.633330)"
Bocas,5093,Valid,Typical meteorite,L6,56,Fell,Fell: the meteorite's fall was observed ,1804,23.000000,-102.000000,"(23.000000, -102.000000)"
Darmstadt,6603,Valid,Typical meteorite,H5,100,Fell,Fell: the meteorite's fall was observed ,1804,49.866670,8.650000,"(49.866670, 8.650000)"
High Possil,11884,Valid,Typical meteorite,L6,4500,Fell,Fell: the meteorite's fall was observed ,1804,55.900000,-4.233330,"(55.900000, -4.233330)"
Misteca,16705,Valid,Typical meteorite,"Iron, ungrouped",10000,Found,Found: the meteorite's fall was not observed,1804,16.800000,-97.100000,"(16.800000, -97.100000)"
Durango,7751,Valid,Typical meteorite,"Iron, IIIAB",164000,Found,Found: the meteorite's fall was not observed,1804,,,
Charcas,5326,Valid,Typical meteorite,"Iron, IIIAB",1400000,Found,Found: the meteorite's fall was not observed,1804,23.083330,-101.016670,"(23.083330, -101.016670)"
Asco,2345,Valid,Typical meteorite,H6,41,Fell,Fell: the meteorite's fall was observed ,1805,42.450000,9.033330,"(42.450000, 9.033330)"
Doroninsk,7718,Valid,Typical meteorite,H5-7,3891,Fell,Fell: the meteorite's fall was observed ,1805,51.200000,112.300000,"(51.200000, 112.300000)"
Bitburg,5062,Valid,Typical meteorite,"Iron, IAB complex",1500000,Found,Found: the meteorite's fall was not observed,1805,49.966670,6.533330,"(49.966670, 6.533330)"
Alais,448,Valid,Typical meteorite,CI1,6000,Fell,Fell: the meteorite's fall was observed ,1806,44.116670,4.083330,"(44.116670, 4.083330)"
Timochin,24004,Valid,Typical meteorite,H5,65500,Fell,Fell: the meteorite's fall was observed ,1807,54.500000,35.200000,"(54.500000, 35.200000)"
Weston,24249,Valid,Typical meteorite,H4,150000,Fell,Fell: the meteorite's fall was observed ,1807,41.266667,-73.266667,"(41.266667, -73.266667)"
Moradabad,16740,Valid,Typical meteorite,L6,70,Fell,Fell: the meteorite's fall was observed ,1808,28.783330,78.833330,"(28.783330, 78.833330)"
Borgo San Donino,5110,Valid,Typical meteorite,LL6,1676,Fell,Fell: the meteorite's fall was observed ,1808,44.866670,10.050000,"(44.866670, 10.050000)"
Lissa,14661,Valid,Typical meteorite,L6,12800,Fell,Fell: the meteorite's fall was observed ,1808,50.200000,14.850000,"(50.200000, 14.850000)"
Stannern,23713,Valid,Typical meteorite,Eucrite-mmict,52000,Fell,Fell: the meteorite's fall was observed ,1808,49.283330,15.566670,"(49.283330, 15.566670)"
Red River,22548,Valid,Typical meteorite,"Iron, IIIAB",800000,Found,Found: the meteorite's fall was not observed,1808,32.000000,-95.000000,"(32.000000, -95.000000)"
Kikino,12306,Valid,Typical meteorite,H6,195,Fell,Fell: the meteorite's fall was observed ,1809,55.000000,34.000000,"(55.000000, 34.000000)"
Caswell County,5296,Valid,Typical meteorite,OC,1360,Fell,Fell: the meteorite's fall was observed ,1810,36.500000,-79.250000,"(36.500000, -79.250000)"
Mooresfort,16737,Valid,Typical meteorite,H5,3520,Fell,Fell: the meteorite's fall was observed ,1810,52.450000,-8.333330,"(52.450000, -8.333330)"
Charsonville,5329,Valid,Typical meteorite,H6,27000,Fell,Fell: the meteorite's fall was observed ,1810,47.933330,1.566670,"(47.933330, 1.566670)"
Brahin,5130,Valid,Typical meteorite,"Pallasite, PMG",823000,Found,Found: the meteorite's fall was not observed,1810,52.500000,30.333330,"(52.500000, 30.333330)"
Santa Rosa,23167,Valid,Typical meteorite,"Iron, IC",825000,Found,Found: the meteorite's fall was not observed,1810,5.916670,-73.000000,"(5.916670, -73.000000)"
Punganaru,18902,Valid,Typical meteorite,Stone-uncl,100,Fell,Fell: the meteorite's fall was observed ,1811,13.333330,78.950000,"(13.333330, 78.950000)"
Berlanguillas,5029,Valid,Typical meteorite,L6,1440,Fell,Fell: the meteorite's fall was observed ,1811,41.683330,-3.800000,"(41.683330, -3.800000)"
Kuleschovka,12370,Valid,Typical meteorite,L6,6000,Fell,Fell: the meteorite's fall was observed ,1811,50.750000,33.500000,"(50.750000, 33.500000)"
Borodino,5114,Valid,Typical meteorite,H5,500,Fell,Fell: the meteorite's fall was observed ,1812,55.466670,35.866670,"(55.466670, 35.866670)"
Toulouse,24036,Valid,Typical meteorite,H6,1030,Fell,Fell: the meteorite's fall was observed ,1812,43.600000,1.400000,"(43.600000, 1.400000)"
Erxleben,10049,Valid,Typical meteorite,H6,2250,Fell,Fell: the meteorite's fall was observed ,1812,52.216670,11.250000,"(52.216670, 11.250000)"
Chantonnay,5325,Valid,Typical meteorite,L6,31500,Fell,Fell: the meteorite's fall was observed ,1812,46.683330,1.050000,"(46.683330, 1.050000)"
Luotolax,14756,Valid,Typical meteorite,Howardite,885,Fell,Fell: the meteorite's fall was observed ,1813,61.200000,27.700000,"(61.200000, 27.700000)"
Limerick,14652,Valid,Typical meteorite,H5,50000,Fell,Fell: the meteorite's fall was observed ,1813,52.566670,-8.783330,"(52.566670, -8.783330)"
Gurram Konda,11464,Valid,Typical meteorite,L6,28,Fell,Fell: the meteorite's fall was observed ,1814,13.783330,78.566670,"(13.783330, 78.566670)"
Bachmut,4917,Valid,Typical meteorite,L6,18000,Fell,Fell: the meteorite's fall was observed ,1814,48.600000,38.000000,"(48.600000, 38.000000)"
Agen,392,Valid,Typical meteorite,H5,30000,Fell,Fell: the meteorite's fall was observed ,1814,44.216670,0.616670,"(44.216670, 0.616670)"
Chail,5314,Valid,Typical meteorite,H6,0.5,Fell,Fell: the meteorite's fall was observed ,1814,25.366670,81.666670,"(25.366670, 81.666670)"
Lenarto,12763,Valid,Typical meteorite,"Iron, IIIAB",108500,Found,Found: the meteorite's fall was not observed,1814,49.000000,21.000000,"(49.000000, 21.000000)"
Chassigny,5331,Valid,Typical meteorite,Martian (chassignite),4000,Fell,Fell: the meteorite's fall was observed ,1815,47.716670,5.366670,"(47.716670, 5.366670)"
Durala,7750,Valid,Typical meteorite,L6,13200,Fell,Fell: the meteorite's fall was observed ,1815,30.300000,76.633330,"(30.300000, 76.633330)"
Hachi-oji,11468,Valid,Typical meteorite,H?,0.2,Fell,Fell: the meteorite's fall was observed ,1817,35.650000,139.333330,"(35.650000, 139.333330)"
Slobodka,23645,Valid,Typical meteorite,L4,2750,Fell,Fell: the meteorite's fall was observed ,1818,55.000000,35.000000,"(55.000000, 35.000000)"
Zaborzika,30379,Valid,Typical meteorite,L6,3867,Fell,Fell: the meteorite's fall was observed ,1818,50.283330,27.683330,"(50.283330, 27.683330)"
Seres,23501,Valid,Typical meteorite,H4,8500,Fell,Fell: the meteorite's fall was observed ,1818,41.050000,23.566670,"(41.050000, 23.566670)"
Cambria,5203,Valid,Typical meteorite,"Iron, ungrouped",16300,Found,Found: the meteorite's fall was not observed,1818,43.200000,-78.800000,"(43.200000, -78.800000)"
Cape York,5262,Valid,Typical meteorite,"Iron, IIIAB",58200000,Found,Found: the meteorite's fall was not observed,1818,76.133330,-64.933330,"(76.133330, -64.933330)"
Pohlitz,18853,Valid,Typical meteorite,L5,3000,Fell,Fell: the meteorite's fall was observed ,1819,50.933330,12.133330,"(50.933330, 12.133330)"
Jonzac,12202,Valid,Typical meteorite,Eucrite-mmict,5000,Fell,Fell: the meteorite's fall was observed ,1819,45.433330,-0.450000,"(45.433330, -0.450000)"
Burlington,5172,Valid,Typical meteorite,"Iron, IIIE",68000,Found,Found: the meteorite's fall was not observed,1819,42.750000,-75.183330,"(42.750000, -75.183330)"
Lixna,14670,Valid,Typical meteorite,H4,5213,Fell,Fell: the meteorite's fall was observed ,1820,56.000000,26.433330,"(56.000000, 26.433330)"
Juvinas,12214,Valid,Typical meteorite,Eucrite-mmict,91000,Fell,Fell: the meteorite's fall was observed ,1821,44.716670,4.300000,"(44.716670, 4.300000)"
Kadonah,12221,Valid,Typical meteorite,H6,89,Fell,Fell: the meteorite's fall was observed ,1822,27.083330,78.333330,"(27.083330, 78.333330)"
Umbala,24112,Valid,Typical meteorite,LL5,100,Fell,Fell: the meteorite's fall was observed ,1822,30.333330,76.333330,"(30.333330, 76.333330)"
Épinal,10041,Valid,Typical meteorite,H5,277,Fell,Fell: the meteorite's fall was observed ,1822,48.183330,6.466670,"(48.183330, 6.466670)"
Futtehpur,10839,Valid,Typical meteorite,L6,4000,Fell,Fell: the meteorite's fall was observed ,1822,25.950000,80.816670,"(25.950000, 80.816670)"
Clohars,5383,Valid,Typical meteorite,L4,48.6,Fell,Fell: the meteorite's fall was observed ,1822,,,
Angers,2301,Valid,Typical meteorite,L6,,Fell,Fell: the meteorite's fall was observed ,1822,47.466670,-0.550000,"(47.466670, -0.550000)"
Guilford County,11444,Valid,Typical meteorite,"Iron, IIIAB",1100,Found,Found: the meteorite's fall was not observed,1822,35.566670,-79.833330,"(35.566670, -79.833330)"
Imilac,12025,Valid,Typical meteorite,"Pallasite, PMG",920000,Found,Found: the meteorite's fall was not observed,1822,-24.203330,-68.806670,"(-24.203330, -68.806670)"
Botschetschki,5117,Valid,Typical meteorite,L4,614,Fell,Fell: the meteorite's fall was observed ,1823,51.333330,33.883330,"(51.333330, 33.883330)"
Nobleborough,16984,Valid,Typical meteorite,Eucrite-pmict,2300,Fell,Fell: the meteorite's fall was observed ,1823,44.083330,-69.483330,"(44.083330, -69.483330)"
Renazzo,22586,Valid,Typical meteorite,CR2,1000,Fell,Fell: the meteorite's fall was observed ,1824,44.766670,11.283330,"(44.766670, 11.283330)"
Tounkin,24037,Valid,Typical meteorite,OC,2000,Fell,Fell: the meteorite's fall was observed ,1824,51.733330,102.533330,"(51.733330, 102.533330)"
Zebrak,30397,Valid,Typical meteorite,H5,2000,Fell,Fell: the meteorite's fall was observed ,1824,49.883330,13.916670,"(49.883330, 13.916670)"
Honolulu,11904,Valid,Typical meteorite,L5,2420,Fell,Fell: the meteorite's fall was observed ,1825,21.300000,-157.866670,"(21.300000, -157.866670)"
Nanjemoy,16904,Valid,Typical meteorite,H6,7500,Fell,Fell: the meteorite's fall was observed ,1825,38.416670,-77.166670,"(38.416670, -77.166670)"
Yanhuitlan,30349,Valid,Typical meteorite,"Iron, IVA",421000,Found,Found: the meteorite's fall was not observed,1825,17.533330,-97.350000,"(17.533330, -97.350000)"
Mineo,16696,Valid,Typical meteorite,Pallasite,42,Fell,Fell: the meteorite's fall was observed ,1826,37.283330,14.700000,"(37.283330, 14.700000)"
Pavlograd,18176,Valid,Typical meteorite,L6,40000,Fell,Fell: the meteorite's fall was observed ,1826,48.533330,35.983330,"(48.533330, 35.983330)"
Galapian,10846,Valid,Typical meteorite,H6,132.69999999999999,Fell,Fell: the meteorite's fall was observed ,1826,44.300000,0.400000,"(44.300000, 0.400000)"
Mhow,16629,Valid,Typical meteorite,L6,350,Fell,Fell: the meteorite's fall was observed ,1827,25.900000,83.616670,"(25.900000, 83.616670)"
Bialystok,5042,Valid,Typical meteorite,Eucrite-pmict,4000,Fell,Fell: the meteorite's fall was observed ,1827,53.100000,23.200000,"(53.100000, 23.200000)"
Drake Creek,7728,Valid,Typical meteorite,L6,5000,Fell,Fell: the meteorite's fall was observed ,1827,36.400000,-86.500000,"(36.400000, -86.500000)"
Richmond,22603,Valid,Typical meteorite,LL5,1800,Fell,Fell: the meteorite's fall was observed ,1828,37.466670,-77.500000,"(37.466670, -77.500000)"
La Caille,12393,Valid,Typical meteorite,"Iron, ungrouped",626000,Found,Found: the meteorite's fall was not observed,1828,43.733330,6.783330,"(43.733330, 6.783330)"
Deal,6634,Valid,Typical meteorite,L6,28,Fell,Fell: the meteorite's fall was observed ,1829,40.250000,-74.000000,"(40.250000, -74.000000)"
Krasnoi-Ugol,12355,Valid,Typical meteorite,L6,2440,Fell,Fell: the meteorite's fall was observed ,1829,54.033330,40.900000,"(54.033330, 40.900000)"
Forsyth,10164,Valid,Typical meteorite,L6,16300,Fell,Fell: the meteorite's fall was observed ,1829,33.016670,-83.966670,"(33.016670, -83.966670)"
Bohumilitz,5099,Valid,Typical meteorite,"Iron, IAB-MG",59000,Found,Found: the meteorite's fall was not observed,1829,49.050000,13.766670,"(49.050000, 13.766670)"
Perth,18797,Valid,Typical meteorite,LL5,2,Fell,Fell: the meteorite's fall was observed ,1830,56.400000,-3.433330,"(56.400000, -3.433330)"
Launton,12740,Valid,Typical meteorite,L6,1060,Fell,Fell: the meteorite's fall was observed ,1830,51.900000,-1.116670,"(51.900000, -1.116670)"
Wessely,24244,Valid,Typical meteorite,H5,3750,Fell,Fell: the meteorite's fall was observed ,1831,48.950000,17.383330,"(48.950000, 17.383330)"
Vouillé,24191,Valid,Typical meteorite,L6,20000,Fell,Fell: the meteorite's fall was observed ,1831,46.633330,0.166670,"(46.633330, 0.166670)"
Walker County,24204,Valid,Typical meteorite,"Iron, IIAB",74800,Found,Found: the meteorite's fall was not observed,1832,34.000000,-87.166670,"(34.000000, -87.166670)"
Blansko,5072,Valid,Typical meteorite,H6,470,Fell,Fell: the meteorite's fall was observed ,1833,49.366670,16.633330,"(49.366670, 16.633330)"
Charwallas,5330,Valid,Typical meteorite,H6,12000,Fell,Fell: the meteorite's fall was observed ,1834,29.483330,75.500000,"(29.483330, 75.500000)"
Okniny,18002,Valid,Typical meteorite,LL6,12000,Fell,Fell: the meteorite's fall was observed ,1834,50.833330,25.500000,"(50.833330, 25.500000)"
Lime Creek,14651,Valid,Typical meteorite,"Iron, IAB-ung",20000,Found,Found: the meteorite's fall was not observed,1834,31.550000,-87.516670,"(31.550000, -87.516670)"
Aldsworth,461,Valid,Typical meteorite,LL5,700,Fell,Fell: the meteorite's fall was observed ,1835,51.783330,-1.783330,"(51.783330, -1.783330)"
Charlotte,5328,Valid,Typical meteorite,"Iron, IVA",4300,Fell,Fell: the meteorite's fall was observed ,1835,36.166670,-87.333330,"(36.166670, -87.333330)"
Aubres,4893,Valid,Typical meteorite,Aubrite,800,Fell,Fell: the meteorite's fall was observed ,1836,44.383330,5.166670,"(44.383330, 5.166670)"
Mascombes,15438,Valid,Typical meteorite,L6,1000,Fell,Fell: the meteorite's fall was observed ,1836,45.366670,1.866670,"(45.366670, 1.866670)"
Macau,15370,Valid,Typical meteorite,H5,1500,Fell,Fell: the meteorite's fall was observed ,1836,-5.200000,-36.666670,"(-5.200000, -36.666670)"
Wichita County,24257,Valid,Typical meteorite,"Iron, IAB-MG",145000,Found,Found: the meteorite's fall was not observed,1836,34.066670,-98.916670,"(34.066670, -98.916670)"
Gibeon,10912,Valid,Typical meteorite,"Iron, IVA",26000000,Found,Found: the meteorite's fall was not observed,1836,-25.500000,18.000000,"(-25.500000, 18.000000)"
Esnandes,10051,Valid,Typical meteorite,L6,1500,Fell,Fell: the meteorite's fall was observed ,1837,46.250000,-1.100000,"(46.250000, -1.100000)"
Gross-Divina,11207,Valid,Typical meteorite,H5,10500,Fell,Fell: the meteorite's fall was observed ,1837,49.266670,18.716670,"(49.266670, 18.716670)"
Yonozu,30366,Valid,Typical meteorite,H4/5,31650,Fell,Fell: the meteorite's fall was observed ,1837,37.750000,139.000000,"(37.750000, 139.000000)"
Cosby's Creek,5450,Valid,Typical meteorite,"Iron, IAB-MG",960000,Found,Found: the meteorite's fall was not observed,1837,35.783330,-83.250000,"(35.783330, -83.250000)"
Coahuila,5387,Valid,Typical meteorite,"Iron, IIAB",2100000,Found,Found: the meteorite's fall was not observed,1837,28.700000,-102.733330,"(28.700000, -102.733330)"
Kaee,12222,Valid,Typical meteorite,H5,230,Fell,Fell: the meteorite's fall was observed ,1838,27.250000,79.966670,"(27.250000, 79.966670)"
Montlivault,16729,Valid,Typical meteorite,L6,500,Fell,Fell: the meteorite's fall was observed ,1838,47.633330,1.583330,"(47.633330, 1.583330)"
Akbarpur,427,Valid,Typical meteorite,H4,1800,Fell,Fell: the meteorite's fall was observed ,1838,29.716670,77.950000,"(29.716670, 77.950000)"
Cold Bokkeveld,5397,Valid,Typical meteorite,CM2,5200,Fell,Fell: the meteorite's fall was observed ,1838,-33.133330,19.383330,"(-33.133330, 19.383330)"
Chandakapur,5320,Valid,Typical meteorite,L5,8800,Fell,Fell: the meteorite's fall was observed ,1838,20.266670,76.016670,"(20.266670, 76.016670)"
Slobodka (of P. Partsch),23646,Valid,Typical meteorite,L6,950,Found,Found: the meteorite's fall was not observed,1838,55.000000,35.000000,"(55.000000, 35.000000)"
